verdict,line,operator,type,from,to,ref,excessKm,tripsDay,wasteDayKm,ratio,lat,lng,reason
"אמיתי","70","אגד","detour","כנפי נשרים/ברק","גאולים/כנפי נשרים","1","0.903","1","0.9","6.22","32.56047","34.96412","סטייה של 0.9 ק""מ במקטע אחד מול קו 1 (יחס פי 6.22) — מסלול עוקף ממשי, עיקוף אמיתי."
"אמיתי","547","אגד","detour","הצבעוני/הרותם","הרותם/החרצית","56","0.874","12","10.5","3.76","31.78908","34.64973","סטייה של 0.9 ק""מ במקטע אחד מול קו 56 (יחס פי 3.76) — מסלול עוקף ממשי, עיקוף אמיתי."
"לא ניתן להשוואה","441","דן בדרום","detour","חפץ חיים/מלון כפרי","כביש 3933/האלה","356","0.851","1","0.9","2.45","31.7909","34.79745","לא ניתן להשוואה — כיווניות מנוגדת: קו 356 מגיע לתחנה המשותפת מצד מנוגד (הפרש וקטור הגעה 114° > 90°). הקווים על צירי נסיעה הפוכים — אין בסיס להשוואת מרחקים."
"לא ניתן להשוואה","59","קווים","detour","רש''י/גני ילדים","רש''י/ראב''ד","2","0.847","1","0.8","6.34","31.93091","35.04989","לא ניתן להשוואה — כיווניות מנוגדת: קו 2 מגיע לתחנה המשותפת מצד מנוגד (הפרש וקטור הגעה 153° > 90°). הקווים על צירי נסיעה הפוכים — אין בסיס להשוואת מרחקים."
"אמיתי","113","קווים","detour","ערער/עמק דותן","תלתן/עמק איילון","101","0.842","3","2.5","2.71","31.8992","35.00973","הקו סוטה הצידה עד 400 מ' מהקו הישר (מול ~92 מ' בקו 101) — בליטה ייחודית, עיקוף אמיתי."
"לא ניתן להשוואה","356","סופרבוס","detour","מעלה יצחק/הרב פינחס מילר","בי''ס יודפת/דליה","74","0.837","18","15.1","2.24","32.72875","35.34118","לא ניתן להשוואה — קו 74 מתחיל/מסיים את מסלולו באחת התחנות (תחנת-קצה), ולכן אינו מסדרון-מעבר תקף: הוא עושה משם קפיצה ישירה קצרה, בעוד הקו הנבדק עשוי לבצע לולאת-שירות לגיטימית באמצע מסלולו. אין בסיס להשוואת מרחקים."
"לא ניתן להשוואה","356","סופרבוס","detour","מעלה יצחק/הרב פינחס מילר","בי''ס יודפת/דליה","74","0.837","3","2.5","2.24","32.72875","35.34118","לא ניתן להשוואה — קו 74 מתחיל/מסיים את מסלולו באחת התחנות (תחנת-קצה), ולכן אינו מסדרון-מעבר תקף: הוא עושה משם קפיצה ישירה קצרה, בעוד הקו הנבדק עשוי לבצע לולאת-שירות לגיטימית באמצע מסלולו. אין בסיס להשוואת מרחקים."
"אמיתי","93","אגד","detour","כנפי נשרים/ברק","גאולים/כנפי נשרים","1","0.794","2","1.6","5.59","32.56047","34.96412","סטייה של 0.8 ק""מ במקטע אחד מול קו 1 (יחס פי 5.59) — מסלול עוקף ממשי, עיקוף אמיתי."
"לא ניתן להשוואה","60","אגד","detour","ספרייה/הדגן","דרך שרה/קדמה","5","0.775","1","0.8","2.17","32.56948","34.95541","לא ניתן להשוואה — כיוון נסיעה הפוך: קו 5 עובר בין ""ספרייה/הדגן"" ל-""דרך שרה/קדמה"" בכיוון הפוך לזה של הקו הנבדק (B→A). ייתכן שהוא נוסע על רחובות חד-סטריים אחרים, ואורכו אינו מוכיח שקיים מסלול קצר יותר בכיוון הנבדק — אין בסיס להשוואת מרחקים."
"אמיתי","51","דן בדרום","detour","אלי סיני/קטיף","ירושלים/נתיביון","325","0.765","5","3.8","1.47","31.41305","34.57523","הקו סוטה הצידה עד 533 מ' מהקו הישר (מול ~129 מ' בקו 325) — בליטה ייחודית, עיקוף אמיתי."
"לא ניתן להשוואה","76","אגד","detour","מלל/יערי","צה''ל/חבצלת","296","0.75","1","0.8","1.36","32.77959","35.01403","לא ניתן להשוואה — כיווניות מנוגדת: קו 296 מגיע לתחנה המשותפת מצד מנוגד (הפרש וקטור הגעה 110° > 90°). הקווים על צירי נסיעה הפוכים — אין בסיס להשוואת מרחקים."
"אמיתי","6","דן בדרום","detour","נווה דקלים/כפר דרום","גני טל/נווה דקלים","4","0.745","49","36.5","3.96","31.41677","34.5701","המסלול מתקדם ואז חוזר 159 מ' לאחור על צירו (לולאה/הלוך-חזור) בין ""נווה דקלים/כפר דרום"" ל-""גני טל/נווה דקלים"", בעוד קו 4 עובר ישר — נסיעה כפולה על אותו כביש, עיקוף אמיתי. המדידה מתחילה מתחנת-התקלה, ללא תלות בכיוון-ההגעה הקודם."
"לא ניתן להשוואה","97","אגד","detour","בז/איה","בז/איה","1","0.694","1","0.7","2.99","32.90225","35.28864","לא ניתן להשוואה — הקו הנבדק מגיע לתחנה ""בז/איה"" מתחנה קודמת (דרך השלום/שקנאי) הרחוקה 722 מ' מזו של קו 1 (שחף/נשר). צירי-הכניסה שונים לגמרי — הקווים אינם חולקים את אותו מקטע, אין בסיס להשוואת מרחקים."
"לא ניתן להשוואה","96","סופרבוס","detour","כיכר הגיבורים/היסמין","בית ספר אורנים/לילך","97","0.692","1","0.7","3.43","32.65897","35.10943","לא ניתן להשוואה — קו 97 מתחיל/מסיים את מסלולו באחת התחנות (תחנת-קצה), ולכן אינו מסדרון-מעבר תקף: הוא עושה משם קפיצה ישירה קצרה, בעוד הקו הנבדק עשוי לבצע לולאת-שירות לגיטימית באמצע מסלולו. אין בסיס להשוואת מרחקים."
"אמיתי","614","מטרופולין","detour","עזרא/דמשק אליעזר","עזרא/שלמה המלך","292","0.683","13","8.9","2.36","32.07656","34.83618","המסלול מתקדם ואז חוזר 199 מ' לאחור על צירו (לולאה/הלוך-חזור) בין ""עזרא/דמשק אליעזר"" ל-""עזרא/שלמה המלך"", בעוד קו 292 עובר ישר — נסיעה כפולה על אותו כביש, עיקוף אמיתי. המדידה מתחילה מתחנת-התקלה, ללא תלות בכיוון-ההגעה הקודם."
"לא ניתן להשוואה","102","אגד","detour","עליאש","ת. מרכזית ירושלים/יפו","262","0.679","1","0.7","1.41","31.7823","35.21554","לא ניתן להשוואה — סדר תחנות שונה: קו 262 עובר דרך 2 תחנת/ות ביניים נוספת/ות בין ""עליאש"" ל-""ת. מרכזית ירושלים/יפו"" (A→…→B), בעוד הקו הנבדק עובר ישירות. זו בחירת תכנון מסלול, לא עיקוף — אין משמעות ליחס-מרחקים."
"לא ניתן להשוואה","4","סופרבוס","detour","קרן היסוד/ששת הימים","ששת הימים/הנשיאים","15","0.675","27","18.2","4.61","32.67191","35.24359","לא ניתן להשוואה — קו 15 מתחיל/מסיים את מסלולו באחת התחנות (תחנת-קצה), ולכן אינו מסדרון-מעבר תקף: הוא עושה משם קפיצה ישירה קצרה, בעוד הקו הנבדק עשוי לבצע לולאת-שירות לגיטימית באמצע מסלולו. אין בסיס להשוואת מרחקים."
"לא ניתן להשוואה","62","אגד","detour","נילי/קדש","הכובשים/הגדעונים","60","0.67","1","0.7","1.76","32.57156","34.94657","לא ניתן להשוואה — סדר תחנות שונה: קו 60 עובר דרך 2 תחנת/ות ביניים נוספת/ות בין ""נילי/קדש"" ל-""הכובשים/הגדעונים"" (A→…→B), בעוד הקו הנבדק עובר ישירות. זו בחירת תכנון מסלול, לא עיקוף — אין משמעות ליחס-מרחקים."
"לא ניתן להשוואה","63","אגד","detour","ספרייה/הדגן","דרך שרה/קדמה","5","0.596","1","0.6","1.9","32.56948","34.95541","לא ניתן להשוואה — כיווניות מנוגדת: קו 5 מגיע לתחנה המשותפת מצד מנוגד (הפרש וקטור הגעה 169° > 90°). הקווים על צירי נסיעה הפוכים — אין בסיס להשוואת מרחקים."
"לא ניתן להשוואה","74","אגד","detour","אבן גבירול/שד' רוקח","מסוף רדינג/הורדה","418","0.549","6","3.3","1.9","32.09938","34.78277","לא ניתן להשוואה — כיוון נסיעה הפוך: קו 418 עובר בין ""אבן גבירול/שד' רוקח"" ל-""מסוף רדינג/הורדה"" בכיוון הפוך לזה של הקו הנבדק (B→A). ייתכן שהוא נוסע על רחובות חד-סטריים אחרים, ואורכו אינו מוכיח שקיים מסלול קצר יותר בכיוון הנבדק — אין בסיס להשוואת מרחקים."
